{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 11.02, train_mean: 17.67, test_best: 4.09, test_mean: 6.45
FITNESS - train_best: 11.02, train_mean: 14.82, test_best: 4.09, test_mean: 5.41
FITNESS - train_best: 11.02, train_mean: 17.08, test_best: 4.09, test_mean: 6.25
FITNESS - train_best: 11.02, train_mean: 15.40, test_best: 4.09, test_mean: 5.67
FITNESS - train_best: 11.02, train_mean: 19.28, test_best: 4.09, test_mean: 6.94
FITNESS - train_best: 11.02, train_mean: 17.31, test_best: 3.95, test_mean: 6.26
FITNESS - train_best: 11.02, train_mean: 16.30, test_best: 3.95, test_mean: 5.90
FITNESS - train_best: 11.02, train_mean: 19.39, test_best: 3.95, test_mean: 6.90
FITNESS - train_best: 10.81, train_mean: 16.20, test_best: 3.95, test_mean: 5.85
FITNESS - train_best: 10.35, train_mean: 16.36, test_best: 3.87, test_mean: 5.88
FITNESS - train_best: 10.35, train_mean: 17.44, test_best: 3.87, test_mean: 6.25
FITNESS - train_best: 10.35, train_mean: 15.30, test_best: 3.87, test_mean: 5.56
FITNESS - train_best: 10.35, train_mean: 18.72, test_best: 3.87, test_mean: 6.79
